,title,link,id,stars,score,date
550,Doom - The Boardgame (NL) - Deel 1 / 2,https://www.youtube.com/watch?v=59y1evlFQw8,59y1evlFQw8,,8.0,2012-05-03
551,Quarriors (NL),https://www.youtube.com/watch?v=JyxzE4TCo0U,JyxzE4TCo0U,,8.0,2012-03-14
552,Descent (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=KRDrMb9iTlo,KRDrMb9iTlo,,8.0,2012-02-14
553,Avalon (NL),https://www.youtube.com/watch?v=C7AF0GBroak,C7AF0GBroak,,8.0,2012-02-12
554,Order of the Stick - Dungeon of Dorukan (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=VrCgfKKl9Dc,VrCgfKKl9Dc,,8.0,2011-11-28
555,Battlestar Galactica (NL),https://www.youtube.com/watch?v=u_jmiwba_V0,u_jmiwba_V0,,8.0,2011-11-22
556,King of Tokyo (NL),https://www.youtube.com/watch?v=1_THB24Y1S4,1_THB24Y1S4,,8.0,2011-11-14
557,Stronghold (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=CVruPOAYU1A,CVruPOAYU1A,,8.0,2011-11-11
558,Chez Geek (NL),https://www.youtube.com/watch?v=265zyg8DfxA,265zyg8DfxA,,8.0,2011-11-06
559,Cutthroat Caverns - Deeper and Darker (NL),https://www.youtube.com/watch?v=pWa1Fw1Ju8k,pWa1Fw1Ju8k,,8.0,2011-10-31
560,Walhalla (NL),https://www.youtube.com/watch?v=M45Von3ySk8,M45Von3ySk8,,8.0,2011-10-15
561,Mall of Horror (NL),https://www.youtube.com/watch?v=-RUCDChF2ac,-RUCDChF2ac,,8.0,2011-09-29
562,Naval Battles (NL),https://www.youtube.com/watch?v=z2rA6rruvU8,z2rA6rruvU8,,8.0,2011-09-26
563,Family Business Review by Nox (NL),https://www.youtube.com/watch?v=5H2pTqzwJ-Y,5H2pTqzwJ-Y,,8.0,2011-09-05
564,Spel der Tronen (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=rOpuXZWpcUg,rOpuXZWpcUg,,8.0,2011-08-23
565,De Schat en de Sleutel (NL),https://www.youtube.com/watch?v=lP-mintXb28,lP-mintXb28,,8.0,2011-07-30
566,Zeevaarders van Catan (NL),https://www.youtube.com/watch?v=4fn3ELILriU,4fn3ELILriU,,8.0,2011-07-29
567,Shadows over Camelot (NL),https://www.youtube.com/watch?v=WGSWvZyeOyU,WGSWvZyeOyU,,8.0,2011-07-11
