title;link;id;stars;score;date
Age of Empires III (NL);https://www.youtube.com/watch?v=TuGaeIMPeLs;TuGaeIMPeLs;;;11-10-2012
Fjord (NL);https://www.youtube.com/watch?v=I-Q_s1fJ3Jk;I-Q_s1fJ3Jk;;;11-10-2012
Elder Sign (NL);https://www.youtube.com/watch?v=8r_sBhr7da4;8r_sBhr7da4;;;10-10-2012
Cyclades (NL);https://www.youtube.com/watch?v=lNEx4H6i16U;lNEx4H6i16U;;;10-10-2012
Caveman Playing with Fire (NL);https://www.youtube.com/watch?v=LrPw7SgAKc0;LrPw7SgAKc0;;;10-10-2012
Hotel Samoa (NL);https://www.youtube.com/watch?v=X0ToQ2d2vco;X0ToQ2d2vco;;;09-10-2012
Master Thieves (NL);https://www.youtube.com/watch?v=pQIp3Bd-nIg;pQIp3Bd-nIg;;;09-10-2012
Hennen Jennen (NL);https://www.youtube.com/watch?v=9WoyVRqJ89U;9WoyVRqJ89U;;;29-09-2012
Last Night on Earth (NL);https://www.youtube.com/watch?v=p_-DKevhXrQ;p_-DKevhXrQ;;;27-09-2012
Timbuktu (NL);https://www.youtube.com/watch?v=iQV3JyaUIKQ;iQV3JyaUIKQ;;;27-09-2012
Celtica (NL);https://www.youtube.com/watch?v=YmZV2Yh4RyA;YmZV2Yh4RyA;;;27-09-2012
Kingdom Builder (NL);https://www.youtube.com/watch?v=xD3PtCBryx0;xD3PtCBryx0;;;26-09-2012
Koude Oorlog: CIA vs. KGB (NL);https://www.youtube.com/watch?v=mbqghwhhFzk;mbqghwhhFzk;;;26-09-2012
Ticket to Ride - Het Kaartspel (NL);https://www.youtube.com/watch?v=3I9y_80e2Tk;3I9y_80e2Tk;;;25-09-2012
Mount Drago (NL);https://www.youtube.com/watch?v=vTH3DeGoJu4;vTH3DeGoJu4;;;25-09-2012
Vampire Werewolf Fearie (NL);https://www.youtube.com/watch?v=cfGO8_956xA;cfGO8_956xA;;;25-09-2012
Monopoly Deal NL;https://www.youtube.com/watch?v=lgYQKlpiblc;lgYQKlpiblc;;;25-09-2012
